#symbol	Hepg2_with_UO126_reps_1&2_100ng	3ng15cycles	3ng20cycles	3ng30cycles	6ng15cycles	6ng20cycles	6ng30cycles	10ng15cycles	10ng20cycles	10ng30cycles	3ng15cycles_rep_2	3ng20cycles_rep_2	3ng30cycles_rep_2	6ng15cycles_rep_2	6ng20cycles_rep_2	6ng30cycles_rep_2	10ng15cycles_rep_2	10ng20cycles_rep_2	10ng30cycles_rep_2
hsa-let-7f-5p	9584.58	14869.34	16892.63	18520.19	13374.38	13933.43	16745.44	11892.78	14737.21	13894.76	14225.14	14807.69	15821.34	14833.94	14752.38	16682.02	12746.83	12802.66	15228.29
hsa-let-7g-3p	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
hsa-let-7g-5p,hsa-let-7i-5p	12040.22	12662.92	13859.46	12853.71	11608.76	13064.54	13856.69	12419.46	14964.61	12738.27	12352.17	11710.44	11528.06	13449.14	13642.78	14142.54	12410.32	13916.46	14094.74
hsa-let-7i-3p	0.00	12.79	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.86	0.50
hsa-miR-1-3p	13.22	12.79	8.62	10.53	7.15	3.27	10.62	13.81	12.13	10.51	15.81	11.70	7.27	19.66	16.23	17.68	13.46	7.75	17.02
hsa-miR-1-5p	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
hsa-miR-100-3p	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
hsa-miR-100-5p,hsa-miR-99a-5p	336.35	377.33	366.48	291.13	433.66	389.45	322.74	409.26	345.65	336.28	379.34	327.56	325.22	320.22	379.21	283.82	374.19	379.59	297.91
hsa-miR-101-3p	2574.01	2647.70	2377.82	2247.63	2883.13	2600.14	2093.58	2870.02	2504.46	2258.35	2643.51	2693.64	2260.19	2755.56	2565.95	2015.58	2786.27	2340.35	1936.14
hsa-miR-101-5p	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
hsa-miR-103a-2-5p	0.31	0.00	0.00	0.00	2.38	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
hsa-miR-103a-3p,hsa-miR-107	592.77	780.24	523.85	668.45	769.63	723.26	832.34	821.98	805.01	910.59	833.75	854.01	817.59	761.22	776.13	864.48	963.75	860.74	806.60
hsa-miR-103b	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
hsa-miR-105-3p	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
hsa-miR-105-5p	1.23	0.00	0.00	0.00	2.38	0.00	1.06	3.45	0.00	3.68	0.00	2.92	0.00	0.00	0.00	0.93	0.00	2.58	1.00
hsa-miR-106a-3p	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
hsa-miR-106a-5p	0.00	0.00	0.00	0.96	4.77	0.00	1.06	0.00	1.52	1.05	0.00	2.92	0.00	0.00	0.00	0.00	0.00	1.72	0.50
hsa-miR-106b-3p	508.84	550.01	426.84	431.90	474.17	428.72	439.52	445.53	447.23	499.17	478.12	365.59	386.99	424.15	455.94	486.68	387.65	451.03	466.64
hsa-miR-106b-5p	52.88	83.14	88.39	115.88	126.29	99.82	123.15	110.52	112.19	164.99	126.45	114.06	138.08	151.68	118.04	142.37	207.29	113.62	122.67
hsa-miR-10a-3p	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
hsa-miR-10a-5p	1.23	0.00	2.16	0.00	0.00	0.00	0.00	0.00	1.52	0.00	0.00	0.00	5.45	0.00	1.48	0.00	0.00	0.00	0.50
hsa-miR-10b-3p	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
hsa-miR-10b-5p	114.37	63.95	84.08	101.51	85.78	98.18	101.92	110.52	92.48	89.32	86.93	52.64	99.93	56.18	69.35	75.37	80.76	102.43	82.61
hsa-miR-1178-3p	0.61	0.00	4.31	0.00	2.38	0.00	0.00	0.00	0.00	0.53	7.90	0.00	0.00	0.00	2.95	0.00	2.69	0.00	0.00
hsa-miR-1178-5p	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
hsa-miR-1179	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
hsa-miR-1180-3p	355.11	908.15	920.51	1061.09	874.47	983.44	1165.69	830.61	886.87	1080.31	1019.47	1087.98	1220.94	856.72	882.37	1132.48	893.76	988.99	1196.13
hsa-miR-1180-5p	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
hsa-miR-1181	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
hsa-miR-1182	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
hsa-miR-1183	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
hsa-miR-1184	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
hsa-miR-1185-1-3p,hsa-miR-1185-2-3p	0.00	0.00	0.00	0.00	0.00	0.00	3.18	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
hsa-miR-1185-5p	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
hsa-miR-1193	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
hsa-miR-1197	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
hsa-miR-1199-3p	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
hsa-miR-1199-5p	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
hsa-miR-1200	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
hsa-miR-1202	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
hsa-miR-1203	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
hsa-miR-1204	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
hsa-miR-1205	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
hsa-miR-1206	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
hsa-miR-1207-3p	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
hsa-miR-1207-5p	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
hsa-miR-1208	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
hsa-miR-122-3p	0.31	0.00	0.00	1.92	0.00	0.00	0.00	0.00	0.00	0.00	0.00	5.85	0.00	0.00	0.00	0.00	0.00	2.58	0.50
hsa-miR-122-5p	1444.42	2123.28	2188.11	1908.62	2003.89	2056.88	1730.49	1813.19	1793.45	1595.76	1809.75	1956.62	1640.64	1741.53	1845.89	1446.08	1596.38	1928.06	1698.32
hsa-miR-1224-3p	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
hsa-miR-1224-5p	0.00	0.00	0.00	0.00	2.38	1.64	0.00	0.00	1.52	1.05	0.00	14.62	0.00	0.00	1.48	0.93	0.00	1.72	1.00
hsa-miR-1225-3p	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
hsa-miR-1225-5p	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
hsa-miR-1226-3p	3.38	31.98	49.58	33.52	16.68	21.27	25.48	25.90	27.29	34.15	19.76	55.57	39.97	28.09	20.66	27.92	21.54	23.24	31.54
hsa-miR-1226-5p	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.58	7.90	2.92	0.00	0.00	0.00	1.86	0.00	1.72	1.00
hsa-miR-1227-3p	4.61	0.00	10.78	0.96	4.77	6.55	6.37	3.45	7.58	6.83	7.90	0.00	25.44	2.81	2.95	6.51	21.54	6.89	8.01
hsa-miR-1227-5p	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
hsa-miR-1228-3p	0.31	0.00	0.00	1.92	0.00	0.00	0.00	0.00	1.52	1.58	0.00	0.00	0.00	0.00	0.00	0.93	0.00	0.86	0.00
hsa-miR-1228-5p	2.46	31.98	49.58	37.35	21.44	11.45	19.11	8.63	18.19	9.46	51.37	64.34	43.60	5.62	10.33	13.03	21.54	11.19	11.52
hsa-miR-1229-3p	0.31	0.00	2.16	2.87	0.00	1.64	5.31	0.00	0.00	0.00	0.00	2.92	14.53	0.00	2.95	2.79	2.69	3.44	1.50
hsa-miR-1229-5p	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.93	0.00	2.58	0.00
hsa-miR-1231	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
hsa-miR-1233-3p	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
hsa-miR-1233-5p	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
hsa-miR-1234-3p	0.00	0.00	0.00	0.00	2.38	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.72	0.00
hsa-miR-1236-3p	0.00	0.00	0.00	0.00	0.00	4.91	1.06	0.00	0.00	1.05	0.00	8.77	3.63	0.00	0.00	0.00	0.00	0.00	1.00
hsa-miR-1236-5p	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
hsa-miR-1237-3p	0.00	0.00	2.16	0.00	0.00	0.00	0.00	0.00	1.52	1.58	0.00	0.00	5.45	0.00	0.00	0.00	0.00	0.00	1.00
hsa-miR-1237-5p	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
hsa-miR-1238-3p	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.48	0.00	0.00	0.00	0.00
hsa-miR-1238-5p	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
hsa-miR-124-3p	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
hsa-miR-124-5p	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
hsa-miR-1243	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
hsa-miR-1244	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00
hsa-miR-1245a	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
hsa-miR-1245b-3p	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
hsa-miR-1245b-5p	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
hsa-miR-1246	676.71	697.10	679.07	809.22	783.93	780.53	760.14	844.43	717.08	890.10	821.90	821.84	853.93	679.76	686.12	616.03	748.39	692.90	768.05
hsa-miR-1247-3p	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
hsa-miR-1247-5p	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
hsa-miR-1248	12.30	12.79	30.18	61.29	16.68	36.00	99.80	24.18	36.38	77.77	43.47	20.47	74.49	25.28	28.04	52.11	48.46	34.43	99.14
hsa-miR-1249-3p	0.92	6.40	2.16	0.96	2.38	0.00	2.12	3.45	1.52	1.05	0.00	0.00	0.00	2.81	1.48	0.00	2.69	1.72	1.00
hsa-miR-1249-5p	0.31	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
hsa-miR-1250-3p	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
hsa-miR-1250-5p	35.97	31.98	30.18	37.35	45.27	55.64	29.73	27.63	31.84	32.58	43.47	29.25	19.99	16.85	17.71	40.94	29.61	32.71	39.55
hsa-miR-1251-3p	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
hsa-miR-1251-5p	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
hsa-miR-1252-3p	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
hsa-miR-1252-5p	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
hsa-miR-1253	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
hsa-miR-1254	7.38	0.00	12.93	12.45	11.91	13.09	18.05	10.36	4.55	14.19	7.90	8.77	21.80	16.85	20.66	9.31	10.77	15.49	13.52
hsa-miR-1255a	0.92	0.00	4.31	0.00	0.00	0.00	3.18	5.18	0.00	0.53	0.00	2.92	3.63	0.00	1.48	1.86	5.38	1.72	1.00
hsa-miR-1255b-2-3p	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
hsa-miR-1255b-5p	0.31	0.00	8.62	0.96	4.77	0.00	0.00	0.00	1.52	0.00	0.00	0.00	0.00	0.00	0.00	3.72	2.69	2.58	0.00
hsa-miR-1256	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
hsa-miR-1257	7.69	0.00	0.00	4.79	0.00	3.27	5.31	3.45	3.03	2.10	0.00	2.92	1.82	0.00	11.80	3.72	8.08	0.00	3.00
hsa-miR-1258	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
hsa-miR-125a-3p	6.76	12.79	6.47	6.70	14.30	4.91	8.49	8.63	10.61	8.41	23.71	2.92	3.63	2.81	7.38	12.10	18.84	9.47	5.51
hsa-miR-125a-5p	332.05	1848.28	1681.50	1929.68	1389.14	1493.98	1749.60	1391.84	1411.41	1667.75	1568.72	1865.95	2065.79	1497.16	1509.47	1627.54	1744.44	1290.25	1526.08
hsa-miR-125b-1-3p	0.92	6.40	2.16	0.00	0.00	0.00	2.12	0.00	1.52	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
hsa-miR-125b-2-3p	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
hsa-miR-125b-5p	1.23	19.19	6.47	4.79	0.00	3.27	5.31	0.00	3.03	1.05	11.85	5.85	7.27	0.00	1.48	8.37	10.77	4.30	4.01
hsa-miR-126-3p	27.67	25.58	25.87	23.94	33.36	11.45	14.86	39.72	34.87	19.97	39.51	14.62	23.62	47.75	23.61	9.31	29.61	28.40	20.03
hsa-miR-126-5p	2.46	6.40	0.00	0.00	4.77	4.91	0.00	1.73	0.00	1.58	3.95	2.92	0.00	0.00	4.43	8.37	5.38	0.86	0.00
hsa-miR-1260a	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
hsa-miR-1260b	15.37	25.58	6.47	3.83	28.59	22.91	16.99	19.00	10.61	14.71	3.95	5.85	9.08	36.52	19.18	13.96	18.84	34.43	12.52
hsa-miR-1261	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
hsa-miR-1262	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
hsa-miR-1263	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
hsa-miR-1264	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
hsa-miR-1265	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
hsa-miR-1266-3p	0.00	0.00	0.00	0.00	0.00	0.00	1.06	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.86	0.00
hsa-miR-1266-5p	13.53	6.40	8.62	37.35	21.44	27.82	23.36	5.18	13.64	20.49	3.95	17.55	19.99	11.24	26.56	21.40	18.84	15.49	27.04
hsa-miR-1267	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
hsa-miR-1268a,hsa-miR-1268b	4.61	0.00	10.78	9.58	9.53	6.55	5.31	13.81	6.06	8.93	15.81	23.40	5.45	16.85	13.28	2.79	13.46	4.30	5.51
hsa-miR-1269a	117.45	95.93	157.37	158.97	92.93	108.00	147.57	113.97	122.80	119.28	130.40	140.38	123.55	129.21	109.19	91.19	121.14	124.81	138.19
hsa-miR-1269b	1245.19	1509.32	1239.57	1199.95	1150.87	1145.44	1200.73	1172.53	1187.04	1226.90	1193.33	1120.15	1179.15	1064.58	1254.20	1102.71	1068.74	1158.56	1165.09
hsa-miR-127-3p	10.76	25.58	2.16	17.24	7.15	9.82	12.74	1.73	4.55	11.56	7.90	11.70	19.99	14.04	8.85	4.65	10.77	7.75	13.52
hsa-miR-127-5p	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
hsa-miR-1270	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
hsa-miR-1271-3p	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
hsa-miR-1271-5p	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	3.63	0.00	0.00	0.00	0.00	0.00	0.00
hsa-miR-1272	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
hsa-miR-1273a	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
hsa-miR-1273c	0.92	0.00	0.00	0.00	0.00	0.00	0.00	5.18	0.00	0.53	3.95	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.00
hsa-miR-1273d	0.92	6.40	8.62	0.00	7.15	1.64	4.25	3.45	1.52	1.58	0.00	5.85	5.45	0.00	1.48	5.58	0.00	0.00	4.01
hsa-miR-1273e	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.93	0.00	0.00	0.00
hsa-miR-1273f	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
hsa-miR-1273g-3p	0.00	0.00	0.00	0.00	2.38	0.00	0.00	0.00	0.00	1.05	0.00	0.00	0.00	0.00	0.00	0.00	5.38	0.00	0.00
hsa-miR-1273g-5p	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
hsa-miR-1273h-3p	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
hsa-miR-1273h-5p	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
hsa-miR-1275	488.54	3453.52	3585.05	3463.86	2394.66	2236.88	2228.41	1830.45	1700.97	1545.85	3963.28	3506.70	3046.90	2533.65	2200.02	1846.22	1975.96	1787.76	1947.66
hsa-miR-1276	5.84	6.40	8.62	10.53	7.15	6.55	7.43	12.09	9.10	8.41	0.00	8.77	9.08	11.24	17.71	2.79	5.38	5.16	8.51
hsa-miR-1277-3p	1.84	0.00	4.31	0.00	2.38	4.91	0.00	3.45	1.52	3.15	0.00	0.00	0.00	0.00	0.00	0.00	8.08	1.72	0.00
hsa-miR-1277-5p	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.86	0.00
hsa-miR-1278	16.91	19.19	36.65	14.36	21.44	32.73	39.28	25.90	24.26	28.37	7.90	35.10	43.60	33.71	14.76	29.78	40.38	31.85	36.55
hsa-miR-1279	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
hsa-miR-128-1-5p	3.69	6.40	0.00	0.96	0.00	3.27	0.00	1.73	3.03	3.15	0.00	0.00	3.63	5.62	1.48	0.93	0.00	1.72	1.00
