#symbol	"Hepg2_with_UO126_reps_1&2_100ng"	"3ng15cycles"	"3ng20cycles"	"3ng30cycles"	"6ng15cycles"	"6ng20cycles"	"6ng30cycles"	"10ng15cycles"	"10ng20cycles"	"10ng30cycles"	"3ng15cycles_rep_2"	"3ng20cycles_rep_2"	"3ng30cycles_rep_2"	"6ng15cycles_rep_2"	"6ng20cycles_rep_2"	"6ng30cycles_rep_2"	"10ng15cycles_rep_2"	"10ng20cycles_rep_2"	"10ng30cycles_rep_2"
hsa-miR-101-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-103a-2-5p	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-103a-3p,hsa-miR-107	1928	122	243	698	323	442	784	476	531	1733	211	292	450	271	526	929	358	1000	1611
hsa-miR-103b	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-105-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-105-5p	4	0	0	0	1	0	1	2	0	7	0	1	0	0	0	1	0	3	2
hsa-miR-106a-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-106a-5p	0	0	0	1	2	0	1	0	1	2	0	1	0	0	0	0	0	2	1
hsa-miR-106b-3p	1655	86	198	451	199	262	414	258	295	950	121	125	213	151	309	523	144	524	932
hsa-miR-106b-5p	172	13	41	121	53	61	116	64	74	314	32	39	76	54	80	153	77	132	245
hsa-miR-10a-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-10a-5p	4	0	1	0	0	0	0	0	1	0	0	0	3	0	1	0	0	0	1
hsa-miR-10b-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-10b-5p	372	10	39	106	36	60	96	64	61	170	22	18	55	20	47	81	30	119	165
hsa-miR-1178-3p	2	0	2	0	1	0	0	0	0	1	2	0	0	0	2	0	1	0	0
hsa-miR-1178-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1179	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1180-3p	1155	142	427	1108	367	601	1098	481	585	2056	258	372	672	305	598	1217	332	1149	2389
hsa-miR-1180-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1181	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1182	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1183	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1184	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1185-1-3p,hsa-miR-1185-2-3p	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1185-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1193	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1197	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1199-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1199-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1202	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1203	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1204	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1205	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1206	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1207-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1207-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1208	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-122-3p	1	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	3	1
hsa-miR-122-5p	4698	332	1015	1993	841	1257	1630	1050	1183	3037	458	669	903	620	1251	1554	593	2240	3392
hsa-miR-1224-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1224-5p	0	0	0	0	1	1	0	0	1	2	0	5	0	0	1	1	0	2	2
hsa-miR-1225-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1225-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1226-3p	11	5	23	35	7	13	24	15	18	65	5	19	22	10	14	30	8	27	63
hsa-miR-1226-5p	0	0	0	0	0	0	0	0	0	3	2	1	0	0	0	2	0	2	2
hsa-miR-1227-3p	15	0	5	1	2	4	6	2	5	13	2	0	14	1	2	7	8	8	16
hsa-miR-1227-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1228-3p	1	0	0	2	0	0	0	0	1	3	0	0	0	0	0	1	0	1	0
hsa-miR-1228-5p	8	5	23	39	9	7	18	5	12	18	13	22	24	2	7	14	8	13	23
hsa-miR-1229-3p	1	0	1	3	0	1	5	0	0	0	0	1	8	0	2	3	1	4	3
hsa-miR-1229-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	3	0
hsa-miR-1231	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1233-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1233-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1234-3p	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0
hsa-miR-1236-3p	0	0	0	0	0	3	1	0	0	2	0	3	2	0	0	0	0	0	2
hsa-miR-1236-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1237-3p	0	0	1	0	0	0	0	0	1	3	0	0	3	0	0	0	0	0	2
hsa-miR-1237-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1238-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
hsa-miR-1238-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-124-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-124-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1243	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1244	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
hsa-miR-1245a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1245b-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1245b-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1246	2201	109	315	845	329	477	716	489	473	1694	208	281	470	242	465	662	278	805	1534
hsa-miR-1247-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1247-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1248	40	2	14	64	7	22	94	14	24	148	11	7	41	9	19	56	18	40	198
hsa-miR-1249-3p	3	1	1	1	1	0	2	2	1	2	0	0	0	1	1	0	1	2	2
hsa-miR-1249-5p	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1250-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1250-5p	117	5	14	39	19	34	28	16	21	62	11	10	11	6	12	44	11	38	79
hsa-miR-1251-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1251-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1252-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1252-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1253	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1254	24	0	6	13	5	8	17	6	3	27	2	3	12	6	14	10	4	18	27
hsa-miR-1255a	3	0	2	0	0	0	3	3	0	1	0	1	2	0	1	2	2	2	2
hsa-miR-1255b-2-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1255b-5p	1	0	4	1	2	0	0	0	1	0	0	0	0	0	0	4	1	3	0
hsa-miR-1256	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1257	25	0	0	5	0	2	5	2	2	4	0	1	1	0	8	4	3	0	6
hsa-miR-1258	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-125a-3p	22	2	3	7	6	3	8	5	7	16	6	1	2	1	5	13	7	11	11
hsa-miR-125a-5p	1080	289	780	2015	583	913	1648	806	931	3174	397	638	1137	533	1023	1749	648	1499	3048
hsa-miR-125b-1-3p	3	1	1	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0
hsa-miR-125b-2-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-125b-5p	4	3	3	5	0	2	5	0	2	2	3	2	4	0	1	9	4	5	8
hsa-miR-126-3p	90	4	12	25	14	7	14	23	23	38	10	5	13	17	16	10	11	33	40
hsa-miR-126-5p	8	1	0	0	2	3	0	1	0	3	1	1	0	0	3	9	2	1	0
hsa-miR-1260a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1260b	50	4	3	4	12	14	16	11	7	28	1	2	5	13	13	15	7	40	25
hsa-miR-1261	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1262	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1263	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1264	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1265	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1266-3p	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0
hsa-miR-1266-5p	44	1	4	39	9	17	22	3	9	39	1	6	11	4	18	23	7	18	54
hsa-miR-1267	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1268a,hsa-miR-1268b	15	0	5	10	4	4	5	8	4	17	4	8	3	6	9	3	5	5	11
hsa-miR-1269a	382	15	73	166	39	66	139	66	81	227	33	48	68	46	74	98	45	145	276
hsa-miR-1269b	4050	236	575	1253	483	700	1131	679	783	2335	302	383	649	379	850	1185	397	1346	2327
hsa-miR-127-3p	35	4	1	18	3	6	12	1	3	22	2	4	11	5	6	5	4	9	27
hsa-miR-127-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1270	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1271-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1271-5p	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
hsa-miR-1272	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1273a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1273c	3	0	0	0	0	0	0	3	0	1	1	0	0	0	0	0	0	0	4
hsa-miR-1273d	3	1	4	0	3	1	4	2	1	3	0	2	3	0	1	6	0	0	8
hsa-miR-1273e	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
hsa-miR-1273f	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1273g-3p	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	2	0	0
hsa-miR-1273g-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1273h-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1273h-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1275	1589	540	1663	3617	1005	1367	2099	1060	1122	2942	1003	1199	1677	902	1491	1984	734	2077	3890
hsa-miR-1276	19	1	4	11	3	4	7	7	6	16	0	3	5	4	12	3	2	6	17
hsa-miR-1277-3p	6	0	2	0	1	3	0	2	1	6	0	0	0	0	0	0	3	2	0
hsa-miR-1277-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
hsa-miR-1278	55	3	17	15	9	20	37	15	16	54	2	12	24	12	10	32	15	37	73
hsa-miR-1279	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-128-1-5p	12	1	0	1	0	2	0	1	2	6	0	0	2	2	1	1	0	2	2
hsa-miR-128-2-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-128-3p	12513	1901	6538	15406	4403	6674	12969	5567	6823	21744	3049	4895	8258	4145	6648	14611	3961	12626	26592
hsa-miR-1281	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1282	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1283	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
hsa-miR-1284	2	5	9	19	3	7	4	7	6	23	4	8	9	2	5	11	2	11	27
hsa-miR-1285-3p	7	1	2	5	4	3	10	3	2	13	0	3	4	1	13	8	2	8	14
hsa-miR-1285-5p	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1286	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
hsa-miR-1287-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1287-5p	28	5	1	15	6	11	11	12	8	26	2	5	4	3	2	7	10	17	15
hsa-miR-1288-3p	13	1	0	3	1	4	0	0	1	8	0	2	0	0	0	6	1	5	1
hsa-miR-1288-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1289	3	0	1	0	0	0	0	1	2	4	0	5	0	0	0	3	2	0	1
hsa-miR-129-1-3p,hsa-miR-129-2-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-129-5p	9	1	0	2	2	0	6	2	3	7	2	0	3	2	6	10	2	0	8
hsa-miR-1290	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0
hsa-miR-1291	538	114	320	1452	291	560	1255	275	561	3108	222	279	1038	258	413	1015	339	848	4514
hsa-miR-1292-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1292-5p	38	2	15	52	16	23	20	12	12	49	8	9	13	3	18	36	10	44	52
hsa-miR-1293	5	1	5	0	1	4	1	0	0	6	0	1	0	0	4	3	0	1	1
hsa-miR-1294	4	0	3	5	1	5	3	2	1	2	1	0	3	5	1	1	2	0	10
hsa-miR-1295a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1295b-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1295b-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1296-3p	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
hsa-miR-1296-5p	57	2	12	18	11	4	10	19	15	32	4	7	8	9	17	28	12	29	58
hsa-miR-1297,hsa-miR-26b-5p	6437	600	1837	4472	1684	2376	4481	2294	2683	10444	1105	1554	2970	1568	2765	6512	2182	4802	9759
hsa-miR-1298-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1298-5p	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
hsa-miR-1299	241	19	35	65	32	34	68	36	34	117	7	23	30	27	41	56	20	71	99
hsa-miR-1301-3p	76	12	42	72	31	35	83	14	60	170	21	20	37	29	43	85	28	101	181
hsa-miR-1301-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1302	1	0	0	1	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0
hsa-miR-1303	20	1	5	15	5	7	18	14	5	29	4	3	16	4	14	14	4	16	27
hsa-miR-1304-3p	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1304-5p	21	0	7	10	3	8	7	6	7	35	1	2	9	1	15	12	5	8	27
hsa-miR-1305	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1306-3p	2	0	0	5	1	2	2	3	3	5	0	0	9	1	3	3	4	4	2
hsa-miR-1306-5p	6	0	1	0	4	0	3	4	0	2	2	0	1	0	2	5	0	3	2
hsa-miR-1307-3p	1487	202	525	1276	527	726	1190	686	766	2672	330	385	681	444	772	1230	417	1364	2527
hsa-miR-1307-5p	362	38	112	237	115	131	223	139	128	429	74	75	113	90	153	235	104	264	417
hsa-miR-130a-3p	15	3	6	17	6	16	15	15	11	14	6	8	9	8	19	27	10	23	32
hsa-miR-130a-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-130b-3p	30	4	21	21	12	17	14	25	19	82	13	11	24	27	18	35	17	40	54
hsa-miR-130b-5p	251	144	392	1128	238	487	772	319	405	982	205	355	571	252	461	760	215	563	1427
hsa-miR-132-3p	51	1	9	4	2	3	20	3	7	25	0	10	4	8	4	14	6	12	23
hsa-miR-132-5p	3	1	2	1	0	4	6	4	1	19	1	1	3	1	6	9	1	4	4
hsa-miR-1321	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1322	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1323	3	0	2	0	2	1	1	1	3	8	0	2	7	2	3	4	1	1	13
hsa-miR-1324	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-133a-3p,hsa-miR-133b	0	0	0	0	0	0	0	0	0	2	1	0	0	0	1	0	0	1	6
hsa-miR-133a-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-134-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-134-5p	2	0	3	4	2	0	1	1	0	5	0	1	3	0	0	4	0	2	3
hsa-miR-1343-3p	14	4	16	40	10	11	13	8	7	46	2	5	8	5	12	19	7	12	20
hsa-miR-1343-5p	0	0	0	2	0	1	0	0	0	0	0	0	1	2	0	2	0	0	1
hsa-miR-135a-3p	5	0	4	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
hsa-miR-135a-5p	5	0	0	0	0	1	5	1	2	2	0	4	1	1	1	4	3	2	5
hsa-miR-135b-3p	20	0	1	0	2	8	3	4	5	7	4	2	2	1	2	6	4	6	25
hsa-miR-135b-5p	627	37	97	244	121	156	226	205	155	612	66	101	171	100	177	266	142	368	526
hsa-miR-136-3p	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0
hsa-miR-136-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-137	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-138-1-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-138-2-3p	3	0	0	9	0	0	0	0	0	9	0	0	0	0	0	3	1	1	0
hsa-miR-138-5p	14	1	4	15	5	3	3	5	3	7	1	3	7	6	6	4	4	6	23
hsa-miR-139-3p	2	0	2	2	0	0	0	1	2	1	0	0	0	0	0	3	0	1	2
hsa-miR-139-5p	5	2	0	0	3	3	2	1	2	11	0	1	2	2	0	0	1	3	14
hsa-miR-140-3p	2500	157	331	719	332	432	699	446	527	1481	174	222	383	321	515	807	260	835	1467
hsa-miR-140-5p	452	81	180	339	210	260	359	262	250	858	110	141	238	145	275	382	205	455	714
hsa-miR-141-3p,hsa-miR-200a-3p	2134	204	588	1463	537	743	1333	703	842	3000	349	493	856	498	818	1888	640	1493	2860
hsa-miR-141-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
hsa-miR-142-3p	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	1
hsa-miR-142-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
hsa-miR-143-3p	19868	980	2489	5540	2199	3202	5241	3152	3468	9822	1277	1686	2837	1863	3585	5479	1874	6169	10068
hsa-miR-143-5p	1	1	1	5	0	1	1	0	1	10	0	2	3	1	3	7	0	4	5
hsa-miR-144-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-144-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-145-3p	7	0	5	3	1	7	6	9	4	28	0	5	3	4	3	9	4	9	8
hsa-miR-145-5p	69	1	10	5	7	0	20	2	9	32	3	3	11	10	8	12	5	25	21
hsa-miR-1468-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1468-5p	69	15	34	37	27	28	52	26	32	69	6	14	43	16	28	27	18	30	57
hsa-miR-1469	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-146a-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-146a-5p,hsa-miR-146b-5p	46391	3018	9120	22845	7910	12141	20774	10815	12280	40428	4903	6769	12021	6755	13140	22243	7209	23661	41236
hsa-miR-146b-3p	48	0	6	4	3	8	11	10	4	16	1	8	2	2	4	11	2	11	18
hsa-miR-1470	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1471	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-147a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-147b	15	0	0	4	2	4	6	1	5	5	0	0	1	1	0	4	0	4	7
hsa-miR-148a-3p	1223034	20727	85257	188437	59782	103764	168947	88816	114210	311370	36624	46589	91225	55514	114406	176309	53932	210957	352579
hsa-miR-148a-5p	1126	69	159	459	138	170	387	204	213	747	74	109	209	123	278	460	133	414	778
hsa-miR-148b-3p	13265	320	1257	2986	1113	1718	2946	1527	1940	5981	658	911	1742	976	2046	3490	963	3142	5865
hsa-miR-148b-5p	8	1	1	0	0	1	4	4	1	2	3	1	0	0	3	3	1	4	4
hsa-miR-149-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-149-5p	23	4	10	26	19	21	20	18	16	46	7	7	21	13	12	36	11	32	44
hsa-miR-150-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-150-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-151a-3p	102284	2340	6573	13555	6718	8902	12166	9451	9160	24837	3618	4285	6920	4731	9383	11290	5198	17044	23851
hsa-miR-151a-5p,hsa-miR-151b	117	13	33	69	32	34	50	29	54	146	25	38	47	30	38	151	36	84	157
hsa-miR-152-3p	1314	52	134	303	177	224	315	219	252	718	102	92	150	103	217	333	138	373	581
hsa-miR-152-5p	9	0	3	6	0	0	7	0	2	2	0	0	3	0	1	1	1	5	6
hsa-miR-153-3p	10	0	3	0	0	0	1	6	3	3	1	0	3	2	2	6	2	2	6
hsa-miR-153-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1537-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1537-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1538	0	0	0	0	1	0	1	1	0	0	0	1	0	0	0	0	0	0	7
